date,hour,load
2/13/2010,1,696.13
2/13/2010,2,670.02
2/13/2010,3,653.88
2/13/2010,4,645.39
2/13/2010,5,635.98
2/13/2010,6,642
2/13/2010,7,626
2/13/2010,8,694.45
2/13/2010,9,771.67
2/13/2010,10,839.55
2/13/2010,11,864.66
2/13/2010,12,853.03
2/13/2010,13,832.17
2/13/2010,14,823.69
2/13/2010,15,804.93
2/13/2010,16,775.02
2/13/2010,17,752.12
2/13/2010,18,754.93
2/13/2010,19,823.82
2/13/2010,20,820.89
2/13/2010,21,784.72
2/13/2010,22,749.41
2/13/2010,23,727.04
2/13/2010,24,687.7
2/14/2010,1,653.59
2/14/2010,2,636.36
2/14/2010,3,626.06
